transaction_id,target_id,acquirer_id,announce_date,close_date,deal_year,deal_quarter,deal_type,financing_type,deal_size_mm,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close,target_name,target_sector,target_sub_sector,target_geography,target_ownership_type,target_ltm_revenue_mm,target_ebitda_margin_pct,acquirer_name,acquirer_type,acquirer_sector_focus,acquirer_geographic_reach,sector_median_ev_ebitda,sector_median_ev_revenue,ev_ebitda_pct_vs_sector_median,ev_revenue_pct_vs_sector_median,acquirer_fiscal_revenue_mm,acquirer_fiscal_ebitda_mm,acquirer_net_debt_mm,acquirer_cash_mm,acquirer_total_assets_mm,deal_size_tier
TXN-0179,TGT-0148,ACQ-004,2017-09-15,2018-10-19,2017,Q3,Platform Investment,Stock-for-Stock,500.6,9.1,4.65,6.1,Closed,Cost Synergies|Technology Capability|Platform Build,3,399,Wellspring Visiting Health,Home Health/Hospice,Home Infusion,Mountain West,PE-Backed,678.2,31.6,Elevance Health,Strategic,Health Insurance,National,13.1,3.39,-30.53435114503817,37.168141592920364,6227.7,965.3,2638.6,386.3,9050.9,Large
TXN-0275,TGT-0196,ACQ-002,2017-10-11,2018-04-15,2017,Q4,Leveraged Buyout,Leveraged,296.9,7.6,6.87,11.7,Closed,Platform Build|Brand Value|Revenue Synergies,2,186,Vertex Dental Care,Dental,Pediatric Dental,Mid-Atlantic,Physician-Owned,107.4,26.3,CVS Health,Strategic,Healthcare Services,National,11.4,3.32,-33.333333333333336,106.92771084337352,11056.7,2089.7,5996.0,485.8,22588.7,Mid-Market
TXN-0010,TGT-0199,ACQ-018,2017-01-09,2017-11-21,2017,Q1,Merger of Equals,Seller Financing,38.0,21.4,2.82,16.7,Closed,Supply Chain Integration|Cross-Sell Opportunity|Technology Capability|Cost Synergies,8,316,Zephyr Healthcare,Healthcare Services,Lab Services,Southwest,Private,239.2,20.8,Medline Industries,Strategic,Medical Devices,National,13.0,3.05,64.61538461538461,-7.5409836065573765,3890.7,396.9,415.2,486.0,10762.8,Small
TXN-0158,TGT-0200,ACQ-018,2017-09-12,2018-07-30,2017,Q3,Minority Investment,Seller Financing,419.6,23.9,4.33,10.4,Closed,Geographic Expansion|High Growth|Market Consolidation,2,321,Continuum Mental Wellness,Behavioral Health,Substance Abuse Treatment,Mountain West,Nonprofit,428.0,28.4,Medline Industries,Strategic,Medical Devices,National,10.6,2.36,125.47169811320754,83.47457627118645,3890.7,396.9,415.2,486.0,10762.8,Mid-Market
TXN-0111,TGT-0202,ACQ-010,2017-08-21,,2017,Q3,Bolt-on Acquisition,Stock-for-Stock,600.1,16.4,2.69,9.8,Rumored,Supply Chain Integration|Cost Synergies|Margin Improvement,7,,Voyager Healthcare,Healthcare Services,Specialty Clinics,West Coast,Private,244.8,10.9,DaVita,Strategic,Healthcare Services,National,9.5,2.0,72.6315789473684,34.5,4105.3,1055.1,1452.2,336.0,7242.9,Large
TXN-0093,TGT-0212,ACQ-017,2017-07-18,,2017,Q3,Strategic Acquisition,All Cash,655.1,22.1,3.28,11.0,Terminated,Supply Chain Integration|Margin Improvement|Vertical Integration|Geographic Expansion|High Growth,1,,Crest Specialty Medicine,Physician Groups,Orthopedic Groups,Midwest,Physician-Owned,370.4,23.1,Hologic,Strategic,Medical Devices,National,16.6,1.86,33.132530120481924,76.34408602150535,1963.7,459.5,1140.5,121.1,4871.0,Large
TXN-0402,TGT-0216,ACQ-006,2017-07-02,,2017,Q3,Leveraged Buyout,Seller Financing,307.9,17.8,7.28,17.9,Terminated,Cost Synergies|High Growth|Regulatory Arbitrage|Geographic Expansion|Margin Improvement,1,,Delta Device Solutions,Medical Devices,Surgical Instruments,Mountain West,Physician-Owned,886.5,30.5,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,11.1,1.75,60.360360360360374,316.0,2006.1,234.7,1070.2,171.8,3842.9,Mid-Market
TXN-0301,TGT-0221,ACQ-011,2017-08-21,2018-01-08,2017,Q3,Carve-out,Mixed,170.4,9.5,7.63,10.7,Closed,Geographic Expansion|Market Consolidation|Cost Synergies,4,140,Trident Smile Partners,Dental,Pediatric Dental,Northeast,Physician-Owned,577.1,23.0,Veeva Systems,Strategic,Health IT,National,12.0,1.54,-20.833333333333336,395.45454545454544,2107.1,373.0,640.1,232.9,3053.9,Mid-Market
TXN-0330,TGT-0225,ACQ-011,2017-09-04,2018-05-09,2017,Q3,Minority Investment,All Cash,708.6,19.5,1.6,7.8,Closed,Market Consolidation|Diversification|Geographic Expansion|Cost Synergies|Regulatory Arbitrage,3,247,Atlas Health Plans,Health Insurance,Supplemental Insurance,Southwest,Physician-Owned,219.0,32.5,Veeva Systems,Strategic,Health IT,National,17.3,3.19,12.716763005780344,-49.84326018808777,2107.1,373.0,640.1,232.9,3053.9,Large
TXN-0499,TGT-0226,ACQ-008,2017-12-18,,2017,Q4,Strategic Acquisition,Leveraged,384.3,9.1,1.27,10.3,Terminated,Brand Value|Revenue Synergies,5,,Forge Care Partners,Healthcare Services,Urgent Care,Southeast,Nonprofit,445.8,24.3,Acadia Healthcare,Strategic,Behavioral Health,National,14.7,2.64,-38.095238095238095,-51.89393939393939,2197.2,472.4,348.8,262.2,4063.2,Mid-Market
TXN-0488,TGT-0228,ACQ-016,2017-11-28,2018-09-05,2017,Q4,Management Buyout,Mixed,645.9,21.9,7.08,18.5,Closed,Geographic Expansion|Market Consolidation,4,281,Sapphire Software,Health IT,Data Analytics,Mid-Atlantic,PE-Backed,208.2,23.2,Henry Schein,Strategic,Medical Devices,National,13.5,2.57,62.222222222222214,175.4863813229572,3116.1,853.8,515.0,439.6,5513.0,Large
TXN-0024,TGT-0243,ACQ-003,2017-07-27,,2017,Q3,Minority Investment,Cash + Stock,492.8,19.2,1.08,18.1,Rumored,Geographic Expansion|Market Consolidation|Margin Improvement,6,,Mosaic Health Plans,Health Insurance,Medicaid Managed Care,Southeast,Public,364.9,25.1,HCA Healthcare,Strategic,Healthcare Services,National,17.3,3.19,10.982658959537565,-66.14420062695925,5134.7,1417.2,2740.0,204.6,13306.0,Mid-Market
TXN-0150,TGT-0249,ACQ-006,2017-01-16,2017-12-29,2017,Q1,Platform Investment,Leveraged,498.4,11.2,2.65,15.6,Closed,Regulatory Arbitrage|Margin Improvement|Diversification,3,347,Nexus Dental Group,Dental,Pediatric Dental,West Coast,Private,363.0,18.3,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,12.4,4.6,-9.677419354838717,-42.391304347826086,2006.1,234.7,1070.2,171.8,3842.9,Mid-Market
TXN-0157,TGT-0252,ACQ-007,2017-10-02,2018-07-02,2017,Q4,Leveraged Buyout,Seller Financing,731.4,19.6,1.54,4.2,Closed,Brand Value|Margin Improvement,5,273,Halcyon Health Coverage,Health Insurance,Medicare Advantage,Midwest,Nonprofit,921.4,33.5,Amedisys,Strategic,Home Health/Hospice,National,14.2,4.43,38.028169014084526,-65.23702031602708,1821.2,344.2,794.3,216.5,2220.7,Large
TXN-0124,TGT-0257,ACQ-008,2017-06-23,2018-03-27,2017,Q2,Minority Investment,Stock-for-Stock,368.9,9.4,5.05,15.1,Closed,Vertical Integration|Diversification,4,277,Flatiron Physician Partners,Physician Groups,Anesthesia Groups,Great Plains,Public,471.5,23.9,Acadia Healthcare,Strategic,Behavioral Health,National,10.8,3.14,-12.962962962962965,60.828025477706994,2197.2,472.4,348.8,262.2,4063.2,Mid-Market
TXN-0061,TGT-0280,ACQ-019,2017-09-07,,2017,Q3,Merger of Equals,All Cash,701.7,8.7,1.1,12.7,Terminated,Vertical Integration|Technology Capability,7,,Prism Technologies,Health IT,Data Analytics,Southeast,PE-Backed,114.0,33.9,R1 RCM,Strategic,Revenue Cycle,National,10.4,4.01,-16.346153846153854,-72.56857855361596,1972.9,222.9,259.2,127.7,4970.2,Large
TXN-0380,TGT-0033,ACQ-029,2017-01-07,,2017,Q1,Management Buyout,Leveraged,336.7,17.5,7.12,19.2,Rumored,Geographic Expansion|Platform Build|Cost Synergies|Diversification|High Growth,6,,Onyx Surgical,Medical Devices,Diagnostic Equipment,Great Plains,Physician-Owned,144.7,10.0,General Atlantic,Financial Sponsor,Growth Equity,National,15.4,1.51,13.636363636363633,371.52317880794703,,,,,,Mid-Market
TXN-0316,TGT-0049,ACQ-038,2017-10-17,,2017,Q4,Recapitalization,Mixed,249.2,8.4,3.14,15.1,Withdrawn,Revenue Synergies|Market Consolidation|Geographic Expansion|High Growth|Talent Acquisition,3,,Ironwood Medical Practice,Physician Groups,Anesthesia Groups,Great Plains,Physician-Owned,459.7,22.8,Great Hill Partners,Financial Sponsor,Technology,National,11.0,4.93,-23.636363636363633,-36.30831643002028,,,,,,Mid-Market
TXN-0228,TGT-0059,ACQ-030,2017-04-20,2018-04-19,2017,Q2,Minority Investment,All Cash,341.8,19.4,3.06,15.3,Closed,Diversification|Revenue Synergies|Supply Chain Integration|Cost Synergies,8,364,Integrity Health Analytics,Health IT,Population Health,West Coast,Public,515.7,28.2,Summit Partners,Financial Sponsor,Growth Equity,National,11.0,4.13,76.36363636363636,-25.907990314769975,,,,,,Mid-Market
TXN-0348,TGT-0093,ACQ-028,2017-08-13,2017-11-05,2017,Q3,SPAC Merger,Leveraged,702.2,11.2,4.39,9.3,Closed,Revenue Synergies|Cost Synergies,5,84,Acumen Health Analytics,Health IT,Telehealth,Mid-Atlantic,Nonprofit,683.1,24.7,Advent International,Financial Sponsor,Diversified,National,10.4,4.01,7.692307692307682,9.476309226932667,,,,,,Large
TXN-0353,TGT-0094,ACQ-031,2017-07-13,2018-07-21,2017,Q3,Recapitalization,Stock-for-Stock,363.5,18.3,0.9,4.9,Closed,Cross-Sell Opportunity|Supply Chain Integration,1,373,Keystone Care at Home,Home Health/Hospice,Hospice,Southeast,Nonprofit,184.1,16.1,Thoma Bravo,Financial Sponsor,Technology,National,13.1,3.39,39.694656488549626,-73.45132743362832,,,,,,Mid-Market
TXN-0463,TGT-0099,ACQ-033,2017-09-03,,2017,Q3,Bolt-on Acquisition,Cash + Stock,49.9,17.6,5.76,10.0,Pending,Vertical Integration|Talent Acquisition|Diversification|Platform Build,1,,Highland Home Care,Home Health/Hospice,Home Health,Northeast,Physician-Owned,771.7,21.4,New Mountain Capital,Financial Sponsor,Healthcare,National,13.1,3.39,34.35114503816795,69.91150442477874,,,,,,Small
TXN-0180,TGT-0134,ACQ-024,2017-05-01,2018-03-15,2017,Q2,Management Buyout,Mixed,537.5,24.6,1.87,10.6,Closed,Platform Build|Geographic Expansion|High Growth|Margin Improvement,3,318,Nexus Mental Wellness,Behavioral Health,Mental Health Clinics,West Coast,PE-Backed,240.9,28.5,Hellman & Friedman,Financial Sponsor,Diversified,National,10.6,3.74,132.07547169811323,-50.0,,,,,,Large
TXN-0208,TGT-0143,ACQ-036,2017-03-19,2017-11-05,2017,Q1,Recapitalization,All Cash,689.8,7.6,5.13,17.7,Closed,High Growth|Revenue Synergies,7,231,Latitude Clinical Group,Physician Groups,Multi-Specialty Groups,Mid-Atlantic,Private,133.2,13.8,Water Street Healthcare,Financial Sponsor,Healthcare,National,10.8,1.96,-29.62962962962964,161.73469387755102,,,,,,Large
TXN-0089,TGT-0147,ACQ-030,2017-06-09,,2017,Q2,Merger of Equals,Stock-for-Stock,463.7,22.1,1.31,5.8,Rumored,Diversification|Regulatory Arbitrage|Vertical Integration|Market Consolidation,4,,Acumen RCM Services,Revenue Cycle,Billing Services,West Coast,Family-Owned,341.2,23.4,Summit Partners,Financial Sponsor,Growth Equity,National,13.1,1.82,68.7022900763359,-28.021978021978022,,,,,,Mid-Market
TXN-0109,TGT-0167,ACQ-031,2017-12-28,,2017,Q4,SPAC Merger,All Cash,519.2,6.7,6.62,9.5,Rumored,Diversification|Revenue Synergies|High Growth|Supply Chain Integration,1,,Embark Financial Services,Revenue Cycle,Claims Management,Southeast,Physician-Owned,324.8,16.5,Thoma Bravo,Financial Sponsor,Technology,National,11.1,4.88,-39.63963963963963,35.65573770491804,,,,,,Large
TXN-0055,TGT-0170,ACQ-030,2017-03-03,,2017,Q1,Carve-out,Leveraged,54.9,23.7,5.23,14.3,Rumored,Platform Build|Supply Chain Integration|Market Consolidation|Diversification,8,,Eclipse Device Solutions,Medical Devices,Orthopedic Devices,Multi-Regional,Public,343.5,27.2,Summit Partners,Financial Sponsor,Growth Equity,National,15.4,1.51,53.89610389610389,246.35761589403978,,,,,,Small
TXN-0442,TGT-0178,ACQ-026,2017-11-14,,2017,Q4,Recapitalization,Seller Financing,554.5,6.6,2.73,6.7,Withdrawn,Talent Acquisition|Supply Chain Integration,7,,Luminary Health Plans,Health Insurance,Dental Insurance,Great Plains,Nonprofit,768.6,21.0,Warburg Pincus,Financial Sponsor,Healthcare,National,14.2,4.43,-53.52112676056338,-38.3747178329571,,,,,,Large
TXN-0234,TGT-0185,ACQ-031,2017-05-22,2018-02-03,2017,Q2,Platform Investment,Mixed,538.6,8.5,2.24,13.3,Closed,Vertical Integration|Technology Capability|Revenue Synergies|Talent Acquisition|Geographic Expansion,2,257,Beacon Medical,Healthcare Services,Specialty Clinics,Multi-Regional,PE-Backed,296.1,18.4,Thoma Bravo,Financial Sponsor,Technology,National,11.5,2.07,-26.08695652173913,8.212560386473449,,,,,,Large
TXN-0381,TGT-0191,ACQ-024,2017-09-04,2018-02-15,2017,Q3,Bolt-on Acquisition,All Cash,555.3,19.6,2.34,12.6,Closed,High Growth|Vertical Integration,6,164,Kinetic Health Plans,Health Insurance,Supplemental Insurance,National,Family-Owned,458.2,24.7,Hellman & Friedman,Financial Sponsor,Diversified,National,17.3,3.19,13.294797687861276,-26.645768025078375,,,,,,Large
TXN-0494,TGT-0194,ACQ-032,2017-10-12,,2017,Q4,Carve-out,Stock-for-Stock,26.2,24.0,3.27,8.3,Withdrawn,Vertical Integration|Cross-Sell Opportunity|Supply Chain Integration,4,,Vertex Physician Partners,Physician Groups,Orthopedic Groups,Great Plains,Physician-Owned,328.1,28.8,Vista Equity Partners,Financial Sponsor,Technology,National,11.0,4.93,118.18181818181819,-33.671399594320484,,,,,,Small
TXN-0435,TGT-0197,ACQ-021,2017-05-10,2017-11-16,2017,Q2,Strategic Acquisition,Mixed,353.0,11.3,7.13,8.3,Closed,Platform Build|Vertical Integration|Revenue Synergies,6,190,Titan Biopharma,Pharma/Biotech,Biotech Therapeutics,Northeast,Public,406.7,25.7,KKR,Financial Sponsor,Diversified,National,15.3,3.05,-26.143790849673206,133.7704918032787,,,,,,Mid-Market
TXN-0431,TGT-0209,ACQ-038,2017-07-09,2018-07-12,2017,Q3,Platform Investment,Leveraged,107.6,13.8,4.44,5.5,Closed,Brand Value|Cost Synergies|Margin Improvement,8,368,Keybridge Health Coverage,Health Insurance,Medicaid Managed Care,Great Plains,Physician-Owned,375.5,28.4,Great Hill Partners,Financial Sponsor,Technology,National,17.3,3.19,-20.231213872832367,39.184952978056444,,,,,,Mid-Market
TXN-0343,TGT-0223,ACQ-024,2017-10-03,2018-10-14,2017,Q4,Bolt-on Acquisition,Stock-for-Stock,375.6,21.5,2.07,12.7,Closed,Geographic Expansion|Vertical Integration|Cost Synergies|Supply Chain Integration,3,376,Titan Dental Care,Dental,Oral Surgery,Northeast,Physician-Owned,638.1,22.3,Hellman & Friedman,Financial Sponsor,Diversified,National,11.4,3.32,88.59649122807018,-37.65060240963856,,,,,,Mid-Market
TXN-0401,TGT-0237,ACQ-035,2017-10-25,2018-08-05,2017,Q4,Minority Investment,All Cash,428.4,19.2,4.43,14.6,Closed,High Growth|Margin Improvement|Brand Value|Supply Chain Integration,6,284,Momentum Tech Solutions,Health IT,Clinical Decision Support,Mid-Atlantic,Physician-Owned,689.1,9.1,Cerberus Capital,Financial Sponsor,Diversified,National,13.5,2.57,42.222222222222214,72.37354085603113,,,,,,Mid-Market
TXN-0273,TGT-0266,ACQ-030,2017-07-14,,2017,Q3,Merger of Equals,Seller Financing,576.8,15.4,2.73,9.8,Pending,Technology Capability|Brand Value|Margin Improvement,1,,Granite Behavioral Health,Behavioral Health,Psychiatric Hospitals,National,PE-Backed,183.8,25.2,Summit Partners,Financial Sponsor,Growth Equity,National,10.6,2.36,45.28301886792453,15.67796610169492,,,,,,Large
TXN-0097,TGT-0279,ACQ-031,2017-04-07,2017-09-25,2017,Q2,Platform Investment,Stock-for-Stock,110.7,20.6,2.59,16.1,Closed,Technology Capability|Margin Improvement,8,171,Axis Device Solutions,Medical Devices,Orthopedic Devices,National,PE-Backed,463.6,26.4,Thoma Bravo,Financial Sponsor,Technology,National,15.2,3.53,35.5263157894737,-26.628895184135974,,,,,,Mid-Market
TXN-0351,TGT-0286,ACQ-031,2017-01-13,2017-12-06,2017,Q1,Strategic Acquisition,Leveraged,681.3,22.5,6.7,8.0,Closed,Technology Capability|Brand Value|Revenue Synergies|Geographic Expansion|Cost Synergies,3,327,Navigator Therapeutics,Pharma/Biotech,Drug Delivery,Southeast,Private,278.3,27.7,Thoma Bravo,Financial Sponsor,Technology,National,13.9,3.22,61.870503597122294,108.07453416149066,,,,,,Large
TXN-0274,TGT-0194,ACQ-037,2017-08-09,2018-05-19,2017,Q3,Platform Investment,Seller Financing,120.4,7.6,4.0,9.0,Closed,High Growth|Margin Improvement|Revenue Synergies|Brand Value,1,283,Vertex Physician Partners,Physician Groups,Orthopedic Groups,Great Plains,Physician-Owned,328.1,28.8,Frazier Healthcare,Financial Sponsor,Healthcare,National,16.6,1.86,-54.216867469879524,115.0537634408602,,,,,,Mid-Market
TXN-0062,TGT-0212,ACQ-033,2017-05-24,,2017,Q2,Carve-out,Cash + Stock,670.3,9.7,2.11,16.6,Rumored,Regulatory Arbitrage|Talent Acquisition|Platform Build|Vertical Integration|Brand Value,1,,Crest Specialty Medicine,Physician Groups,Orthopedic Groups,Midwest,Physician-Owned,370.4,23.1,New Mountain Capital,Financial Sponsor,Healthcare,National,10.8,3.14,-10.185185185185198,-32.80254777070065,,,,,,Large
TXN-0437,TGT-0228,ACQ-034,2017-12-03,2018-12-25,2017,Q4,Platform Investment,All Cash,363.9,14.2,2.69,17.7,Closed,Diversification|Supply Chain Integration,5,387,Sapphire Software,Health IT,Data Analytics,Mid-Atlantic,PE-Backed,208.2,23.2,Oak Hill Capital,Financial Sponsor,Diversified,National,13.5,2.57,5.18518518518518,4.669260700389109,,,,,,Mid-Market
TXN-0072,TGT-0194,ACQ-025,2017-01-03,,2017,Q1,Strategic Acquisition,Cash + Stock,689.8,15.6,3.82,5.5,Terminated,Margin Improvement|Cross-Sell Opportunity|Revenue Synergies,2,,Vertex Physician Partners,Physician Groups,Orthopedic Groups,Great Plains,Physician-Owned,328.1,28.8,Welsh Carson,Financial Sponsor,Healthcare,National,10.8,1.96,44.44444444444443,94.89795918367346,,,,,,Large
TXN-0446,TGT-0013,ACQ-015,2018-03-01,2018-05-28,2018,Q1,Platform Investment,Mixed,653.2,13.2,3.69,16.9,Closed,Platform Build|Talent Acquisition,5,88,Delta Visiting Health,Home Health/Hospice,Personal Care,Southeast,Nonprofit,740.7,24.4,Patterson Companies,Strategic,Dental,National,17.2,2.6,-23.25581395348837,41.92307692307692,1413.9,424.2,764.9,95.9,1750.0,Large
TXN-0294,TGT-0027,ACQ-010,2018-04-10,,2018,Q2,Bolt-on Acquisition,Cash + Stock,445.8,21.1,2.27,11.6,Rumored,Vertical Integration|Cost Synergies|Market Consolidation|Technology Capability|Supply Chain Integration,7,,Luminary Health Plans,Health Insurance,Managed Care,Mountain West,Nonprofit,375.5,13.5,DaVita,Strategic,Healthcare Services,National,16.4,3.34,28.658536585365873,-32.035928143712574,4330.8,1056.7,1829.7,398.6,12876.1,Mid-Market
TXN-0415,TGT-0031,ACQ-009,2018-09-05,,2018,Q3,Strategic Acquisition,Cash + Stock,72.2,24.0,7.31,15.0,Pending,Platform Build|High Growth|Cross-Sell Opportunity|Market Consolidation,1,,Nexus Physician Partners,Physician Groups,Cardiology Groups,West Coast,Private,590.9,15.4,Encompass Health,Strategic,Home Health/Hospice,Multi-Regional,11.6,3.01,106.89655172413795,142.85714285714286,3063.3,732.1,610.5,97.3,6973.1,Small
TXN-0143,TGT-0032,ACQ-006,2018-06-23,2018-11-15,2018,Q2,SPAC Merger,Mixed,609.3,18.6,4.06,8.0,Closed,Regulatory Arbitrage|Diversification|Vertical Integration,8,145,Onyx Device Solutions,Medical Devices,Diagnostic Equipment,Great Plains,Public,85.5,30.4,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,12.4,3.82,50.000000000000014,6.282722513088999,2209.7,592.2,466.1,49.0,5568.8,Large
TXN-0429,TGT-0041,ACQ-005,2018-11-08,2019-06-03,2018,Q4,Management Buyout,Mixed,680.4,16.0,1.17,11.0,Closed,Technology Capability|Revenue Synergies|Cross-Sell Opportunity|Vertical Integration,8,207,Yarrow Biosciences,Pharma/Biotech,Specialty Pharma,Southwest,Public,89.6,32.9,Tenet Healthcare,Strategic,Healthcare Services,Multi-Regional,15.8,4.34,1.265822784810122,-73.04147465437788,3506.7,480.4,1506.8,219.9,10355.7,Large
TXN-0358,TGT-0048,ACQ-015,2018-05-25,,2018,Q2,Carve-out,Seller Financing,793.9,17.6,4.57,16.1,Terminated,Diversification|Vertical Integration|Brand Value,8,,Delta Biosciences,Pharma/Biotech,Generic Pharma,Great Plains,Private,997.1,20.3,Patterson Companies,Strategic,Dental,National,13.0,1.7,35.3846153846154,168.8235294117647,1413.9,424.2,764.9,95.9,1750.0,Large
TXN-0168,TGT-0060,ACQ-005,2018-10-03,2019-05-02,2018,Q4,SPAC Merger,Seller Financing,344.0,20.2,7.27,6.9,Closed,Platform Build|Technology Capability|Market Consolidation,2,211,Nexus Wellness Group,Behavioral Health,Autism Services,Northeast,Public,471.7,13.4,Tenet Healthcare,Strategic,Healthcare Services,Multi-Regional,9.4,3.37,114.89361702127658,115.72700296735903,3506.7,480.4,1506.8,219.9,10355.7,Mid-Market
TXN-0216,TGT-0061,ACQ-015,2018-04-08,,2018,Q2,Platform Investment,Leveraged,314.9,14.2,2.29,6.7,Pending,High Growth|Cost Synergies|Brand Value,5,,Trident Oral Health,Dental,DSO (Dental Support Org),Southeast,Physician-Owned,271.8,25.9,Patterson Companies,Strategic,Dental,National,12.9,3.42,10.077519379844952,-33.040935672514614,1413.9,424.2,764.9,95.9,1750.0,Mid-Market
TXN-0285,TGT-0085,ACQ-017,2018-02-16,2018-07-10,2018,Q1,Recapitalization,All Cash,516.5,18.8,4.13,8.8,Closed,Geographic Expansion|Brand Value|Vertical Integration|Platform Build|Cost Synergies,7,144,Alpine Benefits Group,Health Insurance,Medicare Advantage,Multi-Regional,Private,46.3,30.7,Hologic,Strategic,Medical Devices,National,11.6,2.21,62.068965517241395,86.87782805429865,2040.7,530.6,220.4,277.2,3983.3,Large
TXN-0467,TGT-0108,ACQ-017,2018-10-14,2019-06-06,2018,Q4,Platform Investment,All Cash,420.9,18.0,4.22,10.9,Closed,Regulatory Arbitrage|Cross-Sell Opportunity|Geographic Expansion|Diversification|Platform Build,6,235,Halcyon Physician Partners,Physician Groups,Orthopedic Groups,Mountain West,Nonprofit,610.3,19.0,Hologic,Strategic,Medical Devices,National,10.8,3.15,66.66666666666666,33.96825396825396,2040.7,530.6,220.4,277.2,3983.3,Mid-Market
TXN-0163,TGT-0113,ACQ-005,2018-11-05,,2018,Q4,Merger of Equals,Mixed,269.5,24.5,4.95,5.3,Withdrawn,Cross-Sell Opportunity|Cost Synergies,4,,Summit Medical Group,Healthcare Services,Urgent Care,Southwest,Physician-Owned,9.1,9.4,Tenet Healthcare,Strategic,Healthcare Services,Multi-Regional,12.7,3.42,92.91338582677167,44.736842105263165,3506.7,480.4,1506.8,219.9,10355.7,Mid-Market
TXN-0496,TGT-0132,ACQ-012,2018-06-04,2018-09-24,2018,Q2,Recapitalization,Cash + Stock,783.8,11.0,2.8,15.6,Closed,Geographic Expansion|Technology Capability|Revenue Synergies|Supply Chain Integration,2,112,Momentum Medical Devices,Medical Devices,Surgical Instruments,Southwest,Family-Owned,171.2,31.5,Phreesia,Strategic,Health IT,National,12.4,3.82,-11.290322580645164,-26.701570680628272,395.1,68.0,220.6,55.2,1050.8,Large
TXN-0293,TGT-0148,ACQ-002,2018-08-07,2019-07-29,2018,Q3,Merger of Equals,Cash + Stock,438.4,23.2,5.59,7.2,Closed,Talent Acquisition|Diversification|Cost Synergies|Margin Improvement|Regulatory Arbitrage,4,356,Wellspring Visiting Health,Home Health/Hospice,Home Infusion,Mountain West,PE-Backed,678.2,31.6,CVS Health,Strategic,Healthcare Services,National,13.8,3.07,68.1159420289855,82.08469055374593,11589.4,2793.0,2638.7,1358.2,14390.0,Mid-Market
TXN-0003,TGT-0158,ACQ-007,2018-04-21,2019-02-26,2018,Q2,Minority Investment,Stock-for-Stock,778.5,8.7,2.81,3.7,Closed,Market Consolidation|Diversification|Margin Improvement|Brand Value|Platform Build,4,311,Atlas MedTech,Medical Devices,Diagnostic Equipment,Multi-Regional,Public,846.2,20.5,Amedisys,Strategic,Home Health/Hospice,National,12.4,3.82,-29.838709677419363,-26.439790575916227,1821.2,411.6,611.1,192.8,3165.0,Large
TXN-0015,TGT-0170,ACQ-005,2018-07-01,2018-12-28,2018,Q3,Merger of Equals,Cash + Stock,660.0,18.7,6.05,8.7,Closed,Technology Capability|Market Consolidation|Platform Build,1,180,Eclipse Device Solutions,Medical Devices,Orthopedic Devices,Multi-Regional,Public,343.5,27.2,Tenet Healthcare,Strategic,Healthcare Services,Multi-Regional,12.2,3.82,53.278688524590166,58.37696335078534,3506.7,480.4,1506.8,219.9,10355.7,Large
TXN-0359,TGT-0199,ACQ-016,2018-01-12,,2018,Q1,Carve-out,Seller Financing,91.5,6.3,6.32,8.3,Pending,Platform Build|Margin Improvement|Diversification|Cost Synergies|Vertical Integration,2,,Zephyr Healthcare,Healthcare Services,Lab Services,Southwest,Private,239.2,20.8,Henry Schein,Strategic,Medical Devices,National,11.9,3.29,-47.05882352941177,92.09726443768997,3075.8,845.8,1347.5,376.2,4165.7,Small
TXN-0462,TGT-0279,ACQ-018,2018-02-03,2018-12-09,2018,Q1,Merger of Equals,Mixed,719.7,9.2,7.9,15.3,Closed,Regulatory Arbitrage|High Growth,6,309,Axis Device Solutions,Medical Devices,Orthopedic Devices,National,PE-Backed,463.6,26.4,Medline Industries,Strategic,Medical Devices,National,12.1,3.77,-23.966942148760335,109.54907161803715,4231.5,952.1,2266.7,338.1,11730.2,Large
TXN-0051,TGT-0284,ACQ-014,2018-05-22,2019-03-20,2018,Q2,SPAC Merger,Mixed,554.0,23.5,1.76,15.1,Closed,Market Consolidation|Platform Build|Supply Chain Integration|Diversification,3,302,Kinetic Financial Services,Revenue Cycle,Coding Services,Southeast,Nonprofit,60.5,31.8,HealthStream,Strategic,Health IT,National,13.7,4.6,71.53284671532847,-61.73913043478261,272.2,29.4,154.3,32.6,419.2,Large
TXN-0184,TGT-0288,ACQ-006,2018-11-03,2019-02-27,2018,Q4,Minority Investment,Stock-for-Stock,143.6,19.8,7.26,15.4,Closed,Cost Synergies|Technology Capability,7,116,Trident Healthcare,Healthcare Services,Lab Services,Multi-Regional,Physician-Owned,191.0,16.0,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,12.7,3.42,55.905511811023636,112.28070175438596,2209.7,592.2,466.1,49.0,5568.8,Mid-Market
TXN-0001,TGT-0027,ACQ-012,2018-02-20,,2018,Q1,Minority Investment,All Cash,694.8,20.7,3.04,4.5,Pending,Diversification|Technology Capability,8,,Luminary Health Plans,Health Insurance,Managed Care,Mountain West,Nonprofit,375.5,13.5,Phreesia,Strategic,Health IT,National,11.6,2.21,78.44827586206897,37.55656108597286,395.1,68.0,220.6,55.2,1050.8,Large
