target_id,target_name,sector,sub_sector,geography,ownership_type,founded_date,employee_count,ltm_revenue_mm,ebitda_margin_pct,revenue_growth_pct
TGT-0207,Crest Medical Devices,Medical Devices,Diagnostic Equipment,Great Plains,Public,1995-01-01,3371,378.7,32.9,26.1
TGT-0208,Sterling Home Care,Home Health/Hospice,Home Health,National,PE-Backed,1999-01-01,7892,363.3,12.1,21.2
TGT-0209,Keybridge Health Coverage,Health Insurance,Medicaid Managed Care,Great Plains,Physician-Owned,1998-01-01,6291,375.5,28.4,25.6
TGT-0210,Osprey Systems,Health IT,Population Health,Mid-Atlantic,Private,1992-01-01,555,71.8,32.4,2.1
TGT-0211,Cascade Medical Practice,Physician Groups,Primary Care Groups,Multi-Regional,Family-Owned,1992-01-01,5622,307.2,23.7,-1.8
TGT-0212,Crest Specialty Medicine,Physician Groups,Orthopedic Groups,Midwest,Physician-Owned,2011-01-01,3792,370.4,23.1,18.5
TGT-0213,Highland Home Care,Home Health/Hospice,Home Health,Northeast,Nonprofit,1998-01-01,4787,185.6,19.4,19.5
TGT-0214,Eclipse Specialty Medicine,Physician Groups,Multi-Specialty Groups,Northeast,Public,2011-01-01,1524,186.3,28.7,29.2
TGT-0215,Foundation Life Sciences,Pharma/Biotech,Biotech Therapeutics,Mountain West,Family-Owned,1990-01-01,5642,822.0,31.6,-0.3
TGT-0216,Delta Device Solutions,Medical Devices,Surgical Instruments,Mountain West,Physician-Owned,1993-01-01,6012,886.5,30.5,21.5
TGT-0217,Benchmark Care at Home,Home Health/Hospice,Home Infusion,Multi-Regional,Family-Owned,1999-01-01,2077,177.1,12.2,1.6
TGT-0218,Keybridge Systems,Health IT,EHR/EMR,Northeast,PE-Backed,1998-01-01,601,25.3,8.9,15.9
TGT-0219,Atlas Health Services,Healthcare Services,Urgent Care,Great Plains,PE-Backed,1998-01-01,6229,832.5,9.5,12.6
TGT-0220,Flatiron Home Care,Home Health/Hospice,Hospice,National,Physician-Owned,2005-01-01,1990,131.8,11.9,18.1
TGT-0221,Trident Smile Partners,Dental,Pediatric Dental,Northeast,Physician-Owned,1996-01-01,5178,577.1,23.0,-3.4
TGT-0222,Zephyr MedTech,Medical Devices,Cardiac Devices,Mountain West,Family-Owned,1994-01-01,2506,188.4,28.4,11.6
TGT-0223,Titan Dental Care,Dental,Oral Surgery,Northeast,Physician-Owned,2011-01-01,7978,638.1,22.3,8.6
TGT-0224,Zenith Home Health,Home Health/Hospice,Hospice,Great Plains,Public,1990-01-01,4437,518.9,13.1,4.4
TGT-0225,Atlas Health Plans,Health Insurance,Supplemental Insurance,Southwest,Physician-Owned,1998-01-01,3977,219.0,32.5,5.6
TGT-0226,Forge Care Partners,Healthcare Services,Urgent Care,Southeast,Nonprofit,2015-01-01,7541,445.8,24.3,2.2
TGT-0227,Westward Smile Partners,Dental,General Dentistry,Mountain West,Family-Owned,2007-01-01,2576,158.1,21.8,12.4
TGT-0228,Sapphire Software,Health IT,Data Analytics,Mid-Atlantic,PE-Backed,2008-01-01,2613,208.2,23.2,2.7
TGT-0229,Onyx Wellness Group,Behavioral Health,Substance Abuse Treatment,National,Physician-Owned,2011-01-01,2468,119.2,16.9,8.3
TGT-0230,Continuum Smile Partners,Dental,Pediatric Dental,West Coast,Family-Owned,2016-01-01,3825,192.0,29.5,0.9
TGT-0231,Encore Clinical Group,Physician Groups,Orthopedic Groups,Northeast,Physician-Owned,1987-01-01,6923,911.1,33.5,18.4
TGT-0232,Sentinel Health Systems,Healthcare Services,Specialty Clinics,Southwest,Private,1994-01-01,124,7.0,20.3,-2.9
TGT-0233,Uplift Health Plans,Health Insurance,Dental Insurance,Northeast,Physician-Owned,2011-01-01,147,4.7,27.5,13.8
TGT-0234,Wellspring Care at Home,Home Health/Hospice,Home Health,Midwest,Private,1991-01-01,4345,208.0,13.2,13.4
TGT-0235,Highland Medical Devices,Medical Devices,Orthopedic Devices,Mid-Atlantic,Family-Owned,2014-01-01,4678,276.9,26.8,5.5
TGT-0236,Apex Technologies,Health IT,Data Analytics,Mountain West,Family-Owned,2009-01-01,4577,398.8,25.2,19.6
TGT-0237,Momentum Tech Solutions,Health IT,Clinical Decision Support,Mid-Atlantic,Physician-Owned,1991-01-01,7380,689.1,9.1,2.4
TGT-0238,Pacific Health Plans,Health Insurance,Dental Insurance,Southeast,Nonprofit,2002-01-01,7417,705.8,25.8,1.3
TGT-0239,Haven Device Solutions,Medical Devices,Surgical Instruments,Midwest,Nonprofit,2010-01-01,7659,300.5,12.4,3.4
TGT-0240,Zenith Life Sciences,Pharma/Biotech,Drug Delivery,Midwest,Nonprofit,1990-01-01,4152,496.0,17.3,-1.6
TGT-0241,Axis Oral Health,Dental,DSO (Dental Support Org),National,Physician-Owned,2010-01-01,7987,981.0,8.8,4.6
TGT-0242,Kinetic Billing Solutions,Revenue Cycle,Patient Financial Services,Multi-Regional,Family-Owned,2012-01-01,1571,175.3,25.8,-2.0
TGT-0243,Mosaic Health Plans,Health Insurance,Medicaid Managed Care,Southeast,Public,1994-01-01,3162,364.9,25.1,20.9
TGT-0244,Nexus Medical Devices,Medical Devices,Orthopedic Devices,Northeast,Public,2013-01-01,2998,363.8,10.8,-1.9
TGT-0245,Daybreak Biosciences,Pharma/Biotech,CDMO,Multi-Regional,Family-Owned,1991-01-01,265,10.8,23.0,15.9
TGT-0246,Summit MedTech,Medical Devices,Cardiac Devices,Mountain West,Family-Owned,1990-01-01,5987,827.0,32.4,29.2
TGT-0247,Cascade Managed Care,Health Insurance,Supplemental Insurance,Midwest,PE-Backed,2002-01-01,2516,156.5,11.9,0.9
TGT-0248,Trident Care at Home,Home Health/Hospice,Home Infusion,Southeast,Public,2001-01-01,7785,463.9,24.9,15.8
TGT-0249,Nexus Dental Group,Dental,Pediatric Dental,West Coast,Private,2010-01-01,2771,363.0,18.3,25.2
TGT-0250,Momentum Claims Solutions,Revenue Cycle,Claims Management,Midwest,Public,2005-01-01,4991,717.1,13.4,6.0
TGT-0251,Sterling Life Sciences,Pharma/Biotech,Biotech Therapeutics,National,PE-Backed,2005-01-01,3130,199.2,29.2,7.8
TGT-0252,Halcyon Health Coverage,Health Insurance,Medicare Advantage,Midwest,Nonprofit,1986-01-01,7857,921.4,33.5,2.3
TGT-0253,Junction Care at Home,Home Health/Hospice,Home Health,Midwest,Nonprofit,2004-01-01,2032,122.6,12.2,9.8
TGT-0254,Osprey Biosciences,Pharma/Biotech,Specialty Pharma,Great Plains,Physician-Owned,2010-01-01,4427,401.9,32.9,19.2
TGT-0255,Domain Clinical Group,Physician Groups,Multi-Specialty Groups,National,Nonprofit,1990-01-01,945,115.5,25.8,7.4
TGT-0256,Equinox Managed Care,Health Insurance,Managed Care,Mid-Atlantic,Family-Owned,1991-01-01,136,5.7,14.0,21.1
TGT-0257,Flatiron Physician Partners,Physician Groups,Anesthesia Groups,Great Plains,Public,2010-01-01,3843,471.5,23.9,12.5
TGT-0258,Tidewater Medical Devices,Medical Devices,Surgical Instruments,West Coast,Family-Owned,1990-01-01,1000,129.8,27.7,7.2
TGT-0259,Haven Device Solutions,Medical Devices,Cardiac Devices,Great Plains,Public,2015-01-01,849,70.1,26.8,6.2
TGT-0260,Optima Home Health,Home Health/Hospice,Home Health,Mid-Atlantic,Nonprofit,1991-01-01,5597,705.3,33.1,20.9
TGT-0261,Continuum Physician Partners,Physician Groups,Primary Care Groups,Mid-Atlantic,Physician-Owned,2012-01-01,7901,675.1,29.5,17.0
TGT-0262,Highland Behavioral,Behavioral Health,Eating Disorder Treatment,National,PE-Backed,2013-01-01,4901,399.7,8.1,2.5
TGT-0263,Flatiron Home Health,Home Health/Hospice,Home Health,Multi-Regional,PE-Backed,2008-01-01,2720,145.9,11.1,18.5
TGT-0264,Vertex Claims Solutions,Revenue Cycle,Denial Management,Mountain West,Physician-Owned,2010-01-01,4858,212.3,17.5,11.0
TGT-0265,Kensington Wellness Group,Behavioral Health,Autism Services,Southeast,Nonprofit,1993-01-01,2615,115.4,16.2,1.4
TGT-0266,Granite Behavioral Health,Behavioral Health,Psychiatric Hospitals,National,PE-Backed,2009-01-01,3515,183.8,25.2,19.3
TGT-0267,Cascade Behavioral Health,Behavioral Health,Psychiatric Hospitals,West Coast,PE-Backed,1996-01-01,2627,344.2,24.7,25.3
TGT-0268,Sentinel Healthcare,Healthcare Services,Specialty Clinics,Mountain West,Physician-Owned,2017-01-01,5399,482.7,26.5,9.5
TGT-0269,Cascade Revenue Solutions,Revenue Cycle,Patient Financial Services,National,Private,1999-01-01,2442,82.8,14.1,5.1
TGT-0270,Voyager Claims Solutions,Revenue Cycle,Denial Management,Multi-Regional,Private,1992-01-01,2244,276.0,30.2,7.8
TGT-0271,Navigator Medical,Healthcare Services,Lab Services,Southwest,Family-Owned,1991-01-01,6079,787.9,28.3,5.4
TGT-0272,Onyx Medical Group,Healthcare Services,Specialty Clinics,Southeast,Family-Owned,1992-01-01,6403,815.9,13.7,20.8
TGT-0273,Latitude Surgical,Medical Devices,Wound Care,National,PE-Backed,1998-01-01,6714,368.1,9.6,7.3
TGT-0274,Acumen Hospice Care,Home Health/Hospice,Personal Care,Mid-Atlantic,Nonprofit,2003-01-01,2420,238.9,33.7,13.0
TGT-0275,Junction Technologies,Health IT,Revenue Cycle Tech,West Coast,Nonprofit,1993-01-01,5796,776.3,14.7,19.9
TGT-0276,Uplift Dental Group,Dental,Pediatric Dental,National,Nonprofit,2002-01-01,5193,413.9,20.2,17.2
TGT-0277,Xcel Tech Solutions,Health IT,Clinical Decision Support,West Coast,Nonprofit,2008-01-01,3774,543.6,16.8,-4.9
TGT-0278,Prism Tech Solutions,Health IT,Data Analytics,Mid-Atlantic,Private,2010-01-01,1834,268.1,30.3,12.3
TGT-0279,Axis Device Solutions,Medical Devices,Orthopedic Devices,National,PE-Backed,2016-01-01,6507,463.6,26.4,-3.3
TGT-0280,Prism Technologies,Health IT,Data Analytics,Southeast,PE-Backed,2013-01-01,3789,114.0,33.9,2.1
TGT-0281,Alpine Recovery Centers,Behavioral Health,Autism Services,Southeast,Nonprofit,2008-01-01,2101,83.8,25.9,17.7
TGT-0282,Unity Care Partners,Healthcare Services,Specialty Clinics,Southwest,Family-Owned,1990-01-01,5814,240.8,13.8,-2.3
TGT-0283,Yarrow Managed Care,Health Insurance,Medicare Advantage,Northeast,Private,2006-01-01,6743,299.9,31.2,19.3
TGT-0284,Kinetic Financial Services,Revenue Cycle,Coding Services,Southeast,Nonprofit,1991-01-01,895,60.5,31.8,-0.2
TGT-0285,Eclipse Wellness Group,Behavioral Health,Mental Health Clinics,National,Private,1995-01-01,3655,263.7,13.8,21.2
TGT-0286,Navigator Therapeutics,Pharma/Biotech,Drug Delivery,Southeast,Private,1993-01-01,6214,278.3,27.7,7.3
TGT-0287,Sentinel Therapeutics,Pharma/Biotech,Biotech Therapeutics,West Coast,Nonprofit,1990-01-01,2082,200.7,24.2,16.3
TGT-0288,Trident Healthcare,Healthcare Services,Lab Services,Multi-Regional,Physician-Owned,2017-01-01,1595,191.0,16.0,-3.1
TGT-0289,Granite Dental,Dental,Pediatric Dental,Southwest,Family-Owned,1989-01-01,4377,598.1,8.3,7.6
TGT-0290,Granite Device Solutions,Medical Devices,Diagnostic Equipment,Mountain West,Public,1996-01-01,6298,544.9,34.7,-2.4
TGT-0291,Summit Benefits Group,Health Insurance,Managed Care,Southwest,Private,1988-01-01,7821,975.4,21.7,17.0
TGT-0292,Latitude Specialty Medicine,Physician Groups,Orthopedic Groups,Southeast,Nonprofit,1994-01-01,2323,93.0,10.1,27.2
TGT-0293,Westward Behavioral Health,Behavioral Health,Psychiatric Hospitals,National,Nonprofit,1989-01-01,2590,294.8,27.7,24.6
TGT-0294,Keystone Health Services,Healthcare Services,Urgent Care,Southeast,Family-Owned,1988-01-01,2583,283.9,25.8,1.1
TGT-0295,Sentinel Care Partners,Healthcare Services,Lab Services,Northeast,PE-Backed,2016-01-01,7857,562.6,22.0,23.8
TGT-0296,Embark Hospice Care,Home Health/Hospice,Hospice,West Coast,Nonprofit,1992-01-01,6369,878.8,17.0,10.0
TGT-0297,Onyx Clinical Group,Physician Groups,Multi-Specialty Groups,Southeast,Family-Owned,2014-01-01,4234,310.0,21.5,14.8
TGT-0298,Noble Medical Devices,Medical Devices,Diagnostic Equipment,National,Nonprofit,1992-01-01,1921,228.4,8.1,25.1
TGT-0299,Atlas Health Services,Healthcare Services,Urgent Care,Mid-Atlantic,Family-Owned,1994-01-01,1516,214.9,31.2,14.4
TGT-0300,Westward Therapeutics,Pharma/Biotech,Generic Pharma,Mountain West,Nonprofit,2005-01-01,2272,293.4,23.4,-0.8
